Poya Date	Type	Details	Name		
01/02/2026	Full	Pannarasi Friday	Duruthu		
01/03/2026	Government	Saturday			
01/17/2026	New	Pannarasi Saturday			
02/01/2026	Full	Pannarasi Sunday	Navam		
02/15/2026	New	Chatuddasee Sunday			
03/02/2026	Full	Pannarasi Monday	Medin		
03/17/2026	New	Pannarasi Tuesday			
03/25/2026	Half	Wednesday			
04/01/2026	Full	Pannarasi Wednesday	Bak		
04/09/2026	Half	Thursday			
04/15/2026	New	Chatuddasee Wednesday			
04/23/2026	Half	Thursday			
04/30/2026	Full	Pannarasi Thursday	Vesak		
05/01/2026	Government  Friday				
05/09/2026	Half	Saturday			
05/15/2026	New	Pannarasi Friday			???
05/23/2026	Half	Saturday			
05/30/2026	Full	Pannarasi Saturday	Adhi		
06/08/2023	Half	Sunday			
06/13/2026	New	Chatuddasee Saturday			??? Website says 14th
06/21/2026	Half	Sunday			
06/28/2026	Full	Pannarasi Sunday	Poson		
06/29/2026	Government  	Monday			
07/07/2026	Half	Tuesday			
07/13/2026	New	Pannarasi Monday			
07/21/2026	Half	Tuesday			
07/28/2026	Full	Pannarasi Tuesday	Esala		
07/29/2026	Government  Wednesday				
08/06/2026	Half	Thursday			
08/12/2026	New	Pannarasi Wednesday			
08/20/2026	Half	Thursday			
08/27/2026	Full	Pannarasi Thursday	Nikini		
09/04/2026	Half	Friday			
09/10/2026	New	Chatuddasee Thursday			
09/18/2026/	Half	Friday			
09/25/2026	Full	Pannarasi Friday	Binara		
09/26/2026	Government  Saturday				
10/03/2026	Half	Saturday			
10/10/2026	New	Pannarasi Saturday			
10/18/2026	Half	Sunday			
10/25/2026	Full	Pannarasi Sunday	Vap		
11/01/2026	Half	Sunday			
11/08/2026	New	Chatuddasee Sunday			
11/17/2026	Half	Tuesday			
11/23/2026	Full	Pannarasi Monday	Ill		
11/24/2026	Government  Tuesday				
12/01/2026	Half	Tuesday			
12/08/2026	New	Pannarasi Tuesday			
12/17/2026	Half	Thursday			
12/23/2026	Full	Pannarasi Wednesday	Uduvap		
12/30/2026	Half	Wednesday			
