Poya Date		Type
01/02/2026	Full	Pannarasi (4) Friday
01/17/2026	New	Pannarasi (5) Saturday
02/01/2026	Full	Pannarasi (6) Sunday
02/15/2026	New	Chatuddasee (7) Sunday
03/02/2026	Full	Pannarasi (8) Monday
03/17/2026	New	Pannarasi (1) Tuesday
04/01/2026	Full	Pannarasi (2) Wednesday
04/15/2026	New	Chatuddasee (3) Wednesday
04/30/2026	Full	Pannarasi (4) Thursday
05/15/2026	New	Pannarasi (5) Friday
05/30/2026	Full	Pannarasi (6) Saturday
06/13/2026	New	Chatuddasee (7) Saturday
06/28/2026	Full	Pannarasi (8) Sunday
07/13/2026	New	Pannarasi (9) Monday
07/28/2026	Full	Pannarasi (10) Tuesday
08/12/2026	New	Pannarasi (1) Wednesday
08/27/2026	Full	Pannarasi (2) Thursday
09/10/2026	New	Chatuddasee (3) Thursday
09/25/2026	Full	Pannarasi (4) Friday
10/10/2026	New	Pannarasi (5) Saturday
10/25/2026	Full	Pannarasi (6) Sunday
11/08/2026	New	Chatuddasee (7) Sunday
11/23/2026	Full	Pannarasi (8) Monday
12/08/2026	New	Pannarasi (1) Tuesday
12/23/2026	Full	Pannarasi (2) Wednesday
